Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-01,1.2581,1.2638,1.2354,1.2581,0,0,0
2018-01-02,1.2554,1.2557,1.25,1.2555,0,0,0
2018-01-03,1.2504,1.2545,1.25,1.2504,0,0,0
2018-01-04,1.2547,1.2555,1.2511,1.2547,0,0,0
2018-01-05,1.2491,1.2512,1.2358,1.249,0,0,0
2018-01-08,1.2395,1.2443,1.2378,1.2393,0,0,0
2018-01-09,1.2416,1.2477,1.2398,1.2415,0,0,0
2018-01-10,1.2471,1.2494,1.2428,1.2473,0,0,0
2018-01-11,1.2533,1.2586,1.2523,1.2531,0,0,0
2018-01-12,1.2522,1.2555,1.2495,1.2519,0,0,0
2018-01-15,1.2461,1.2469,1.2402,1.246,0,0,0
2018-01-16,1.2428,1.2451,1.2399,1.2424,0,0,0
2018-01-17,1.2424,1.2501,1.2407,1.2425,0,0,0
2018-01-18,1.2444,1.2484,1.243,1.2437,0,0,0
2018-01-19,1.2409,1.2464,1.2399,1.2411,0,0,0
2018-01-22,1.2487,1.2495,1.2436,1.2486,0,0,0
2018-01-23,1.2453,1.2491,1.2433,1.2452,0,0,0
2018-01-24,1.2415,1.2425,1.2318,1.2414,0,0,0
2018-01-25,1.2349,1.2349,1.2283,1.2352,0,0,0
2018-01-26,1.2381,1.2384,1.2303,1.2376,0,0,0
2018-01-29,1.2314,1.2358,1.2311,1.2313,0,0,0
2018-01-30,1.2335,1.2378,1.231,1.2334,0,0,0
2018-01-31,1.2336,1.2346,1.2255,1.2336,0,0,0
2018-02-01,1.2304,1.2331,1.2269,1.2302,0,0,0
2018-02-02,1.2258,1.2404,1.2257,1.2261,0,0,0
2018-02-05,1.2433,1.2493,1.2397,1.2432,0,0,0
2018-02-06,1.2534,1.2564,1.2506,1.2536,0,0,0
2018-02-07,1.2505,1.2553,1.2496,1.2504,0,0,0
2018-02-08,1.2567,1.2612,1.2547,1.2565,0,0,0
2018-02-09,1.2592,1.2681,1.2565,1.2591,0,0,0
2018-02-12,1.2588,1.262,1.2555,1.2587,0,0,0
2018-02-13,1.2581,1.2624,1.2567,1.2577,0,0,0
2018-02-14,1.2589,1.2647,1.2533,1.2589,0,0,0
2018-02-15,1.2483,1.2536,1.2466,1.2483,0,0,0
2018-02-16,1.248,1.2552,1.245,1.2482,0,0,0
2018-02-19,1.2557,1.2592,1.2527,1.2557,0,0,0
2018-02-20,1.2567,1.2627,1.2558,1.2567,0,0,0
2018-02-21,1.2646,1.2682,1.2643,1.2647,0,0,0
2018-02-22,1.2699,1.2751,1.2674,1.2698,0,0,0
2018-02-23,1.2714,1.2725,1.2638,1.2712,0,0,0
2018-02-26,1.2647,1.2711,1.2615,1.2649,0,0,0
2018-02-27,1.2685,1.276,1.2667,1.2684,0,0,0
2018-02-28,1.2773,1.2818,1.2761,1.2771,0,0,0
2018-03-01,1.2836,1.2864,1.2822,1.2833,0,0,0
2018-03-02,1.283,1.2903,1.2818,1.2832,0,0,0
2018-03-05,1.2886,1.2987,1.2878,1.2888,0,0,0
2018-03-06,1.2979,1.2994,1.2869,1.298,0,0,0
2018-03-07,1.2947,1.2995,1.2895,1.2949,0,0,0
2018-03-08,1.2904,1.2951,1.2867,1.2906,0,0,0
2018-03-09,1.2895,1.2908,1.282,1.2896,0,0,0
2018-03-12,1.2812,1.2838,1.2801,1.2812,0,0,0
2018-03-13,1.2843,1.2935,1.283,1.2842,0,0,0
2018-03-14,1.2957,1.2974,1.2924,1.2957,0,0,0
2018-03-15,1.2954,1.3061,1.2946,1.2952,0,0,0
2018-03-16,1.3055,1.3097,1.3045,1.3052,0,0,0
2018-03-19,1.3094,1.3124,1.3053,1.3092,0,0,0
2018-03-20,1.3082,1.3099,1.3058,1.3081,0,0,0
2018-03-21,1.3074,1.3075,1.2951,1.3074,0,0,0
2018-03-22,1.2898,1.2933,1.283,1.2897,0,0,0
2018-03-23,1.293,1.2935,1.2825,1.2931,0,0,0
2018-03-26,1.288,1.2919,1.284,1.2881,0,0,0
2018-03-27,1.2837,1.29,1.2815,1.2836,0,0,0
2018-03-28,1.2879,1.2929,1.2863,1.2879,0,0,0
2018-03-29,1.2918,1.293,1.2865,1.2919,0,0,0
2018-03-30,1.2887,1.2899,1.2859,1.2887,0,0,0
2018-04-02,1.2893,1.2929,1.2863,1.2893,0,0,0
2018-04-03,1.2921,1.2921,1.2781,1.2921,0,0,0
2018-04-04,1.2805,1.2845,1.2774,1.2806,0,0,0
2018-04-05,1.2753,1.2803,1.2746,1.2754,0,0,0
2018-04-06,1.2769,1.2795,1.2734,1.2769,0,0,0
2018-04-09,1.2781,1.2817,1.2701,1.2779,0,0,0
2018-04-10,1.2704,1.2705,1.2603,1.2702,0,0,0
2018-04-11,1.2595,1.2622,1.2546,1.2593,0,0,0
2018-04-12,1.2567,1.2621,1.2561,1.2567,0,0,0
2018-04-13,1.2588,1.2614,1.255,1.2589,0,0,0
2018-04-16,1.2601,1.2622,1.257,1.2602,0,0,0
2018-04-17,1.2567,1.2578,1.2542,1.2566,0,0,0
2018-04-18,1.2557,1.2647,1.2549,1.2558,0,0,0
2018-04-19,1.2624,1.2645,1.2591,1.2626,0,0,0
2018-04-20,1.2666,1.2746,1.2635,1.2665,0,0,0
2018-04-23,1.2767,1.2848,1.2749,1.2767,0,0,0
2018-04-24,1.2844,1.2858,1.2816,1.2844,0,0,0
2018-04-25,1.2823,1.2896,1.282,1.2821,0,0,0
2018-04-26,1.2837,1.2882,1.2823,1.2836,0,0,0
2018-04-27,1.287,1.29,1.2847,1.287,0,0,0
2018-04-30,1.2842,1.2874,1.2815,1.284,0,0,0
2018-05-01,1.2832,1.291,1.2819,1.2831,0,0,0
2018-05-02,1.2845,1.2882,1.2805,1.2845,0,0,0
2018-05-03,1.2882,1.2906,1.2818,1.2882,0,0,0
2018-05-04,1.285,1.2915,1.2836,1.2851,0,0,0
2018-05-07,1.2856,1.289,1.2837,1.2856,0,0,0
2018-05-08,1.2881,1.2997,1.2874,1.2879,0,0,0
2018-05-09,1.2948,1.2973,1.2845,1.2944,0,0,0
2018-05-10,1.2847,1.2849,1.2744,1.285,0,0,0
2018-05-11,1.2771,1.2798,1.273,1.277,0,0,0
2018-05-14,1.2781,1.279,1.2754,1.2781,0,0,0
2018-05-15,1.28,1.2923,1.2791,1.28,0,0,0
2018-05-16,1.2872,1.2874,1.2778,1.2872,0,0,0
2018-05-17,1.2785,1.282,1.275,1.2782,0,0,0
2018-05-18,1.2835,1.291,1.279,1.2836,0,0,0
2018-05-21,1.2879,1.2889,1.2831,1.2877,0,0,0
