In,time,Bitcoin,Ethereurm,Litecoin

0,2020-08-26 16:25:04,"11,465.19",387.32,58.41
0,2020-08-26 16:25:09,"11,465.19",387.32,58.41
0,2020-08-26 16:25:12,"11,465.19",387.32,58.41
0,2020-08-26 16:25:16,"11,465.19",387.32,58.41
0,2020-08-26 16:25:20,"11,465.19",387.32,58.41
0,2020-08-26 16:25:28,"11,465.19",387.32,58.41
0,2020-08-26 16:25:31,"11,465.19",387.32,58.41
0,2020-08-26 16:25:35,"11,465.19",387.33,58.36
0,2020-08-26 16:25:39,"11,468.30",387.33,58.36
0,2020-08-26 16:25:42,"11,468.30",387.33,58.36
0,2020-08-26 16:25:46,"11,468.30",387.33,58.36
0,2020-08-26 16:25:50,"11,468.30",387.33,58.36
0,2020-08-26 16:25:53,"11,468.30",387.33,58.36
0,2020-08-26 16:25:56,"11,468.30",387.33,58.36
0,2020-08-26 16:26:02,"11,468.30",387.33,58.36
0,2020-08-26 16:26:05,"11,468.30",387.33,58.36
