In,time,EURUSD,GBPUSD,CAD
0,2020-08-26 02:07:36,1.1841,1.3150,1.3164
0,2020-08-26 02:07:41,1.1841,1.3150,1.3164
0,2020-08-26 02:07:46,1.1841,1.3150,1.3161
0,2020-08-26 02:07:50,1.1841,1.3150,1.3161
0,2020-08-26 02:07:56,1.1841,1.3150,1.3164
0,2020-08-26 02:08:01,1.1841,1.3150,1.3163
0,2020-08-26 02:08:07,1.1841,1.3150,1.3163
0,2020-08-26 02:08:13,1.1841,1.3150,1.3164
0,2020-08-26 02:08:18,1.1841,1.3150,1.3162
0,2020-08-26 02:08:25,1.1843,1.3153,1.3163
0,2020-08-26 02:08:30,1.1843,1.3153,1.3162
0,2020-08-26 02:08:36,1.1843,1.3153,1.3162
0,2020-08-26 02:08:42,1.1843,1.3153,1.3163
0,2020-08-26 02:08:47,1.1843,1.3153,1.3162
0,2020-08-26 02:08:52,1.1843,1.3153,1.3162
0,2020-08-26 02:08:57,1.1843,1.3153,1.3162
0,2020-08-26 02:09:01,1.1843,1.3153,1.3162
0,2020-08-26 02:09:08,1.1843,1.3153,1.3160
0,2020-08-26 02:09:15,1.1843,1.3153,1.3162
0,2020-08-26 02:09:20,1.1843,1.3153,1.3162
0,2020-08-26 02:09:24,1.1843,1.3154,1.3162
0,2020-08-26 02:09:29,1.1843,1.3154,1.3159
0,2020-08-26 02:09:34,1.1843,1.3154,1.3161
0,2020-08-26 02:09:39,1.1843,1.3154,1.3161
0,2020-08-26 02:09:43,1.1843,1.3154,1.3162
0,2020-08-26 02:09:48,1.1843,1.3154,1.3162
0,2020-08-26 02:09:52,1.1843,1.3154,1.3161
0,2020-08-26 02:09:56,1.1843,1.3154,1.3162
0,2020-08-26 02:10:00,1.1843,1.3154,1.3162
0,2020-08-26 02:10:06,1.1843,1.3154,1.3162
0,2020-08-26 02:10:12,1.1843,1.3154,1.3160
0,2020-08-26 02:10:16,1.1843,1.3154,1.3162
0,2020-08-26 02:10:20,1.1843,1.3154,1.3162
0,2020-08-26 02:10:25,1.1843,1.3149,1.3161
0,2020-08-26 02:10:30,1.1841,1.3149,1.3161
0,2020-08-26 02:10:35,1.1841,1.3149,1.3162
0,2020-08-26 02:10:39,1.1841,1.3149,1.3162
0,2020-08-26 02:10:44,1.1841,1.3149,1.3162
0,2020-08-26 02:10:50,1.1841,1.3149,1.3159
0,2020-08-26 02:10:55,1.1841,1.3149,1.3160
0,2020-08-26 02:11:00,1.1841,1.3149,1.3162
0,2020-08-26 02:11:05,1.1841,1.3149,1.3162
0,2020-08-26 02:11:10,1.1841,1.3149,1.3162
0,2020-08-26 02:11:15,1.1841,1.3149,1.3161
0,2020-08-26 02:11:21,1.1841,1.3149,1.3159
0,2020-08-26 02:11:25,1.1841,1.3150,1.3161
0,2020-08-26 02:11:30,1.1841,1.3150,1.3159
0,2020-08-26 02:11:34,1.1841,1.3150,1.3161
0,2020-08-26 02:11:38,1.1841,1.3150,1.3162
0,2020-08-26 02:11:42,1.1841,1.3150,1.3160
0,2020-08-26 02:11:46,1.1841,1.3150,1.3162
0,2020-08-26 02:11:51,1.1841,1.3150,1.3161
0,2020-08-26 02:11:55,1.1841,1.3150,1.3161
0,2020-08-26 02:12:00,1.1841,1.3150,1.3162
0,2020-08-26 02:12:04,1.1841,1.3150,1.3162
0,2020-08-26 02:12:08,1.1841,1.3150,1.3162
0,2020-08-26 02:12:14,1.1841,1.3150,1.3162
0,2020-08-26 02:12:18,1.1841,1.3150,1.3162
0,2020-08-26 02:12:23,1.1841,1.3148,1.3162
0,2020-08-26 02:12:28,1.1839,1.3148,1.3161
0,2020-08-26 02:12:32,1.1839,1.3148,1.3162
0,2020-08-26 02:12:37,1.1839,1.3148,1.3161
0,2020-08-26 02:12:41,1.1839,1.3148,1.3162
0,2020-08-26 02:12:46,1.1839,1.3148,1.3162
0,2020-08-26 02:12:49,1.1839,1.3148,1.3162
0,2020-08-26 02:12:54,1.1839,1.3148,1.3162
0,2020-08-26 02:12:58,1.1839,1.3148,1.3162
0,2020-08-26 02:13:03,1.1839,1.3148,1.3162
0,2020-08-26 02:13:07,1.1839,1.3148,1.3162
0,2020-08-26 02:13:11,1.1839,1.3148,1.3162
0,2020-08-26 02:13:15,1.1839,1.3148,1.3162
0,2020-08-26 02:13:19,1.1839,1.3148,1.3160
0,2020-08-26 02:13:23,1.1839,1.3148,1.3159
0,2020-08-26 02:13:27,1.1839,1.3149,1.3162
0,2020-08-26 02:13:32,1.1839,1.3149,1.3162
0,2020-08-26 02:13:36,1.1839,1.3149,1.3163
0,2020-08-26 02:13:39,1.1839,1.3149,1.3163
0,2020-08-26 02:13:44,1.1839,1.3149,1.3161
0,2020-08-26 02:13:48,1.1839,1.3149,1.3161
0,2020-08-26 02:13:52,1.1839,1.3149,1.3163
0,2020-08-26 02:13:57,1.1839,1.3149,1.3162
0,2020-08-26 02:14:07,1.1839,1.3149,1.3163
0,2020-08-26 02:14:11,1.1839,1.3149,1.3163
0,2020-08-26 02:14:15,1.1839,1.3149,1.3163
0,2020-08-26 02:14:19,1.1839,1.3149,1.3163
0,2020-08-26 02:14:23,1.1839,1.3149,1.3163
0,2020-08-26 02:14:27,1.1839,1.3148,1.3163
0,2020-08-26 02:14:32,1.1839,1.3148,1.3162
0,2020-08-26 02:14:37,1.1839,1.3148,1.3163
0,2020-08-26 02:14:41,1.1839,1.3148,1.3162
0,2020-08-26 02:14:44,1.1839,1.3148,1.3164
0,2020-08-26 02:14:50,1.1839,1.3148,1.3163
0,2020-08-26 02:14:55,1.1839,1.3148,1.3163
0,2020-08-26 02:15:01,1.1839,1.3148,1.3161
0,2020-08-26 02:15:06,1.1839,1.3148,1.3163
0,2020-08-26 02:15:11,1.1839,1.3148,1.3162
0,2020-08-26 02:15:15,1.1839,1.3148,1.3160
0,2020-08-26 02:15:20,1.1839,1.3148,1.3163
0,2020-08-26 02:15:24,1.1839,1.3148,1.3163
0,2020-08-26 02:15:29,1.1839,1.3148,1.3163
0,2020-08-26 02:15:40,1.1839,1.3148,1.3163
0,2020-08-26 02:15:44,1.1839,1.3148,1.3163
0,2020-08-26 02:15:49,1.1839,1.3148,1.3163
0,2020-08-26 02:15:56,1.1839,1.3148,1.3163
0,2020-08-26 02:16:01,1.1839,1.3148,1.3163
0,2020-08-26 02:16:06,1.1839,1.3148,1.3162
0,2020-08-26 02:16:12,1.1839,1.3148,1.3161
0,2020-08-26 02:16:16,1.1839,1.3148,1.3164
0,2020-08-26 02:16:22,1.1839,1.3148,1.3164
0,2020-08-26 02:16:26,1.1839,1.3147,1.3161
0,2020-08-26 02:16:31,1.1837,1.3147,1.3163
0,2020-08-26 02:16:37,1.1837,1.3147,1.3164
0,2020-08-26 02:16:41,1.1837,1.3147,1.3164
0,2020-08-26 02:16:45,1.1837,1.3147,1.3163
0,2020-08-26 02:16:49,1.1837,1.3147,1.3164
0,2020-08-26 02:16:54,1.1837,1.3147,1.3163
0,2020-08-26 02:16:59,1.1837,1.3147,1.3163
0,2020-08-26 02:17:03,1.1837,1.3147,1.3163
0,2020-08-26 02:17:07,1.1837,1.3147,1.3163
0,2020-08-26 02:17:12,1.1837,1.3147,1.3164
0,2020-08-26 02:17:17,1.1837,1.3147,1.3164
0,2020-08-26 02:17:21,1.1837,1.3147,1.3162
0,2020-08-26 02:17:28,1.1839,1.3149,1.3163
0,2020-08-26 02:17:32,1.1839,1.3149,1.3163
0,2020-08-26 02:17:36,1.1839,1.3149,1.3163
0,2020-08-26 02:17:40,1.1839,1.3149,1.3162
0,2020-08-26 02:17:45,1.1839,1.3149,1.3163
0,2020-08-26 02:17:49,1.1839,1.3149,1.3163
0,2020-08-26 02:17:55,1.1839,1.3149,1.3162
0,2020-08-26 02:18:02,1.1839,1.3149,1.3162
0,2020-08-26 02:18:08,1.1839,1.3149,1.3163
0,2020-08-26 02:18:11,1.1839,1.3149,1.3163
0,2020-08-26 02:18:16,1.1839,1.3149,1.3161
0,2020-08-26 02:18:21,1.1839,1.3149,1.3162
0,2020-08-26 02:18:26,1.1839,1.3149,1.3164
0,2020-08-26 02:18:32,1.1839,1.3149,1.3163
0,2020-08-26 02:18:36,1.1839,1.3149,1.3164
0,2020-08-26 02:18:43,1.1839,1.3149,1.3164
0,2020-08-26 02:18:47,1.1839,1.3149,1.3164
0,2020-08-26 02:18:52,1.1839,1.3149,1.3165
0,2020-08-26 02:18:57,1.1839,1.3149,1.3165
0,2020-08-26 02:19:01,1.1839,1.3149,1.3163
0,2020-08-26 02:19:05,1.1839,1.3149,1.3164
0,2020-08-26 02:19:09,1.1839,1.3149,1.3162
0,2020-08-26 02:19:14,1.1839,1.3149,1.3163
0,2020-08-26 02:19:18,1.1839,1.3149,1.3163
0,2020-08-26 02:19:22,1.1839,1.3149,1.3163
0,2020-08-26 02:19:27,1.1839,1.3149,1.3163
0,2020-08-26 02:19:31,1.1839,1.3149,1.3164
0,2020-08-26 02:19:36,1.1839,1.3149,1.3165
0,2020-08-26 02:19:40,1.1839,1.3149,1.3164
0,2020-08-26 02:19:44,1.1839,1.3149,1.3164
0,2020-08-26 02:19:49,1.1839,1.3149,1.3162
0,2020-08-26 02:19:54,1.1839,1.3149,1.3164
0,2020-08-26 02:19:58,1.1839,1.3149,1.3165
0,2020-08-26 02:20:02,1.1839,1.3149,1.3165
0,2020-08-26 02:20:06,1.1839,1.3149,1.3165
0,2020-08-26 02:20:10,1.1839,1.3149,1.3164
0,2020-08-26 02:20:14,1.1839,1.3149,1.3165
0,2020-08-26 02:20:18,1.1839,1.3149,1.3165
0,2020-08-26 02:20:22,1.1839,1.3149,1.3164
0,2020-08-26 02:20:27,1.1839,1.3146,1.3163
0,2020-08-26 02:20:32,1.1839,1.3146,1.3165
0,2020-08-26 02:20:37,1.1839,1.3146,1.3165
0,2020-08-26 02:20:41,1.1839,1.3146,1.3165
0,2020-08-26 02:20:45,1.1839,1.3146,1.3164
0,2020-08-26 02:20:50,1.1839,1.3146,1.3164
0,2020-08-26 02:20:54,1.1839,1.3146,1.3165
0,2020-08-26 02:20:58,1.1839,1.3146,1.3165
0,2020-08-26 02:21:03,1.1839,1.3146,1.3165
0,2020-08-26 02:21:07,1.1839,1.3146,1.3166
0,2020-08-26 02:21:11,1.1839,1.3146,1.3165
0,2020-08-26 02:21:15,1.1839,1.3146,1.3165
0,2020-08-26 02:21:20,1.1839,1.3146,1.3165
0,2020-08-26 02:21:24,1.1839,1.3146,1.3165
0,2020-08-26 02:21:28,1.1839,1.3149,1.3165
0,2020-08-26 02:21:33,1.1839,1.3149,1.3165
0,2020-08-26 02:21:38,1.1839,1.3149,1.3165
0,2020-08-26 02:21:42,1.1839,1.3149,1.3162
0,2020-08-26 02:21:46,1.1839,1.3149,1.3165
0,2020-08-26 02:21:51,1.1839,1.3149,1.3166
0,2020-08-26 02:21:56,1.1839,1.3149,1.3164
0,2020-08-26 02:22:00,1.1839,1.3149,1.3165
0,2020-08-26 02:22:04,1.1839,1.3149,1.3165
0,2020-08-26 02:22:11,1.1839,1.3149,1.3164
0,2020-08-26 02:22:14,1.1839,1.3149,1.3164
0,2020-08-26 02:22:18,1.1839,1.3149,1.3163
0,2020-08-26 02:22:26,1.1839,1.3149,1.3164
0,2020-08-26 02:22:30,1.1839,1.3149,1.3165
0,2020-08-26 02:22:35,1.1839,1.3149,1.3165
0,2020-08-26 02:22:39,1.1839,1.3149,1.3165
0,2020-08-26 02:22:45,1.1839,1.3149,1.3164
0,2020-08-26 02:22:49,1.1839,1.3149,1.3166
0,2020-08-26 02:22:53,1.1839,1.3149,1.3166
0,2020-08-26 02:22:57,1.1839,1.3149,1.3165
0,2020-08-26 02:23:01,1.1839,1.3149,1.3166
0,2020-08-26 02:23:06,1.1839,1.3149,1.3165
0,2020-08-26 02:23:10,1.1839,1.3149,1.3163
0,2020-08-26 02:23:15,1.1839,1.3149,1.3166
0,2020-08-26 02:23:19,1.1839,1.3149,1.3166
0,2020-08-26 02:23:24,1.1839,1.3149,1.3165
0,2020-08-26 02:23:28,1.1839,1.3149,1.3164
0,2020-08-26 02:23:33,1.1839,1.3149,1.3164
0,2020-08-26 02:23:37,1.1839,1.3149,1.3166
0,2020-08-26 02:23:41,1.1839,1.3149,1.3166
0,2020-08-26 02:23:46,1.1839,1.3149,1.3165
0,2020-08-26 02:23:51,1.1839,1.3149,1.3163
0,2020-08-26 02:23:55,1.1839,1.3149,1.3166
0,2020-08-26 02:24:00,1.1839,1.3149,1.3166
0,2020-08-26 02:24:05,1.1839,1.3149,1.3166
0,2020-08-26 02:24:09,1.1839,1.3149,1.3166
0,2020-08-26 02:24:14,1.1839,1.3149,1.3164
0,2020-08-26 02:24:21,1.1839,1.3149,1.3166
0,2020-08-26 02:24:26,1.1837,1.3147,1.3166
0,2020-08-26 02:24:30,1.1837,1.3147,1.3165
0,2020-08-26 02:24:35,1.1837,1.3147,1.3166
0,2020-08-26 02:24:38,1.1837,1.3147,1.3163
0,2020-08-26 02:24:43,1.1837,1.3147,1.3166
0,2020-08-26 02:24:46,1.1837,1.3147,1.3166
0,2020-08-26 02:24:51,1.1837,1.3147,1.3166
0,2020-08-26 02:24:55,1.1837,1.3147,1.3166
0,2020-08-26 02:24:59,1.1837,1.3147,1.3166
0,2020-08-26 02:25:04,1.1837,1.3147,1.3165
0,2020-08-26 02:25:09,1.1837,1.3147,1.3166
0,2020-08-26 02:25:13,1.1837,1.3147,1.3165
0,2020-08-26 02:25:16,1.1837,1.3147,1.3163
0,2020-08-26 02:25:22,1.1837,1.3147,1.3164
0,2020-08-26 02:25:26,1.1837,1.3147,1.3163
0,2020-08-26 02:25:31,1.1837,1.3147,1.3164
0,2020-08-26 02:25:35,1.1837,1.3147,1.3165
0,2020-08-26 02:25:40,1.1837,1.3147,1.3164
0,2020-08-26 02:25:44,1.1837,1.3147,1.3167
0,2020-08-26 02:25:48,1.1837,1.3147,1.3166
0,2020-08-26 02:25:53,1.1837,1.3147,1.3165
0,2020-08-26 02:25:57,1.1837,1.3147,1.3165
0,2020-08-26 02:26:02,1.1837,1.3147,1.3166
0,2020-08-26 02:26:07,1.1837,1.3147,1.3166
0,2020-08-26 02:26:11,1.1837,1.3147,1.3165
0,2020-08-26 02:26:15,1.1837,1.3147,1.3166
0,2020-08-26 02:26:20,1.1837,1.3147,1.3164
0,2020-08-26 02:26:24,1.1837,1.3147,1.3166
0,2020-08-26 02:26:28,1.1837,1.3148,1.3167
0,2020-08-26 02:26:32,1.1837,1.3148,1.3166
0,2020-08-26 02:26:36,1.1837,1.3148,1.3167
0,2020-08-26 02:26:39,1.1837,1.3148,1.3164
0,2020-08-26 02:26:43,1.1837,1.3148,1.3166
0,2020-08-26 02:26:47,1.1837,1.3148,1.3167
0,2020-08-26 02:26:51,1.1837,1.3148,1.3167
0,2020-08-26 02:26:55,1.1837,1.3148,1.3167
0,2020-08-26 02:27:00,1.1837,1.3148,1.3166
0,2020-08-26 02:27:04,1.1837,1.3148,1.3165
0,2020-08-26 02:27:08,1.1837,1.3148,1.3167
0,2020-08-26 02:27:11,1.1837,1.3148,1.3166
0,2020-08-26 02:27:16,1.1837,1.3148,1.3166
0,2020-08-26 02:27:21,1.1837,1.3148,1.3163
0,2020-08-26 02:27:26,1.1837,1.3149,1.3165
