Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-01,1.3516,1.3516,1.3482,1.3516,0,0,0
2018-01-02,1.3511,1.3597,1.3509,1.3511,0,0,0
2018-01-03,1.3595,1.3615,1.3499,1.3596,0,0,0
2018-01-04,1.3512,1.3561,1.3507,1.3511,0,0,0
2018-01-05,1.3554,1.358,1.3527,1.3553,0,0,0
2018-01-08,1.3576,1.3585,1.3526,1.3576,0,0,0
2018-01-09,1.357,1.3585,1.351,1.3571,0,0,0
2018-01-10,1.3532,1.356,1.3485,1.3532,0,0,0
2018-01-11,1.3513,1.3555,1.3459,1.3513,0,0,0
2018-01-12,1.3542,1.3695,1.354,1.3542,0,0,0
2018-01-15,1.3732,1.382,1.3732,1.3733,0,0,0
2018-01-16,1.3794,1.3806,1.3743,1.3798,0,0,0
2018-01-17,1.3797,1.3845,1.3759,1.3799,0,0,0
2018-01-18,1.3826,1.391,1.3807,1.3828,0,0,0
2018-01-19,1.3894,1.3947,1.3844,1.3895,0,0,0
2018-01-22,1.3889,1.3969,1.3858,1.3892,0,0,0
2018-01-23,1.3985,1.4029,1.3918,1.3985,0,0,0
2018-01-24,1.4012,1.424,1.4002,1.4017,0,0,0
2018-01-25,1.4224,1.434,1.4217,1.4221,0,0,0
2018-01-26,1.415,1.4281,1.4147,1.415,0,0,0
2018-01-29,1.4149,1.4158,1.4027,1.4149,0,0,0
2018-01-30,1.4073,1.415,1.3983,1.4077,0,0,0
2018-01-31,1.4153,1.4225,1.413,1.4156,0,0,0
2018-02-01,1.42,1.4273,1.4163,1.4201,0,0,0
2018-02-02,1.4267,1.4276,1.4104,1.4267,0,0,0
2018-02-05,1.4112,1.415,1.399,1.4111,0,0,0
2018-02-06,1.3941,1.3999,1.384,1.3944,0,0,0
2018-02-07,1.396,1.3992,1.3872,1.3959,0,0,0
2018-02-08,1.3879,1.4064,1.3848,1.3879,0,0,0
2018-02-09,1.3934,1.3987,1.3788,1.3935,0,0,0
2018-02-12,1.3826,1.3875,1.3799,1.3827,0,0,0
2018-02-13,1.3848,1.3924,1.3833,1.3852,0,0,0
2018-02-14,1.3887,1.398,1.3807,1.3887,0,0,0
2018-02-15,1.4015,1.4098,1.4001,1.4016,0,0,0
2018-02-16,1.4106,1.4145,1.4006,1.4104,0,0,0
2018-02-19,1.4033,1.4053,1.3962,1.4032,0,0,0
2018-02-20,1.3993,1.4023,1.3934,1.3993,0,0,0
2018-02-21,1.3999,1.401,1.3911,1.4001,0,0,0
2018-02-22,1.391,1.3952,1.3858,1.391,0,0,0
2018-02-23,1.3951,1.4005,1.3925,1.3953,0,0,0
2018-02-26,1.3969,1.4073,1.3933,1.3968,0,0,0
2018-02-27,1.3965,1.3994,1.3862,1.3966,0,0,0
2018-02-28,1.3903,1.3916,1.3778,1.3906,0,0,0
2018-03-01,1.3753,1.3777,1.3715,1.3754,0,0,0
2018-03-02,1.3775,1.3816,1.3759,1.3775,0,0,0
2018-03-05,1.3799,1.3877,1.3769,1.3795,0,0,0
2018-03-06,1.385,1.3928,1.3821,1.3852,0,0,0
2018-03-07,1.39,1.391,1.3849,1.39,0,0,0
2018-03-08,1.3906,1.3912,1.3815,1.3906,0,0,0
2018-03-09,1.3803,1.3887,1.3789,1.3806,0,0,0
2018-03-12,1.3858,1.3906,1.3844,1.3855,0,0,0
2018-03-13,1.3908,1.3988,1.3876,1.3908,0,0,0
2018-03-14,1.3973,1.3998,1.3927,1.3972,0,0,0
2018-03-15,1.3971,1.3988,1.3924,1.3972,0,0,0
2018-03-16,1.3938,1.398,1.3893,1.3939,0,0,0
2018-03-19,1.3944,1.4087,1.3914,1.3944,0,0,0
2018-03-20,1.4023,1.4069,1.3985,1.4025,0,0,0
2018-03-21,1.4004,1.4079,1.4004,1.4005,0,0,0
2018-03-22,1.4144,1.42,1.408,1.4146,0,0,0
2018-03-23,1.4113,1.4171,1.4088,1.4115,0,0,0
2018-03-26,1.4146,1.4245,1.4146,1.4148,0,0,0
2018-03-27,1.4237,1.4243,1.4069,1.4239,0,0,0
2018-03-28,1.4176,1.4205,1.4093,1.4176,0,0,0
2018-03-29,1.4085,1.4096,1.4021,1.408,0,0,0
2018-03-30,1.4029,1.4062,1.4014,1.4029,0,0,0
2018-04-02,1.4036,1.4077,1.4028,1.4038,0,0,0
2018-04-03,1.4051,1.4088,1.4023,1.4047,0,0,0
2018-04-04,1.4071,1.4098,1.4017,1.4069,0,0,0
2018-04-05,1.4088,1.4096,1.3968,1.4088,0,0,0
2018-04-06,1.4008,1.4103,1.3984,1.4009,0,0,0
2018-04-09,1.4091,1.4164,1.4081,1.4092,0,0,0
2018-04-10,1.4134,1.4188,1.4122,1.4138,0,0,0
2018-04-11,1.4182,1.4223,1.4162,1.4182,0,0,0
2018-04-12,1.4188,1.4247,1.4147,1.4189,0,0,0
2018-04-13,1.424,1.4296,1.4223,1.4238,0,0,0
2018-04-16,1.4246,1.4337,1.4238,1.4247,0,0,0
2018-04-17,1.4342,1.4377,1.4294,1.4342,0,0,0
2018-04-18,1.4298,1.4316,1.4175,1.4297,0,0,0
2018-04-19,1.4203,1.4247,1.4167,1.4204,0,0,0
2018-04-20,1.4084,1.4088,1.4009,1.4086,0,0,0
2018-04-23,1.4003,1.4043,1.3939,1.4002,0,0,0
2018-04-24,1.3938,1.3982,1.392,1.3938,0,0,0
2018-04-25,1.3992,1.3992,1.3927,1.3994,0,0,0
2018-04-26,1.3936,1.3996,1.3896,1.3939,0,0,0
2018-04-27,1.3917,1.3935,1.375,1.3919,0,0,0
2018-04-30,1.377,1.3793,1.3717,1.3771,0,0,0
2018-05-01,1.3772,1.3776,1.3591,1.3772,0,0,0
2018-05-02,1.3611,1.3665,1.3583,1.3609,0,0,0
2018-05-03,1.3574,1.3629,1.354,1.3574,0,0,0
2018-05-04,1.3572,1.3587,1.3495,1.3572,0,0,0
2018-05-07,1.3533,1.3576,1.3517,1.3532,0,0,0
2018-05-08,1.3569,1.3591,1.3486,1.357,0,0,0
2018-05-09,1.3554,1.3606,1.35,1.3553,0,0,0
2018-05-10,1.3546,1.3618,1.3462,1.3545,0,0,0
2018-05-11,1.3524,1.3596,1.3503,1.3523,0,0,0
2018-05-14,1.355,1.3607,1.3545,1.3554,0,0,0
2018-05-15,1.3561,1.3574,1.3453,1.3562,0,0,0
2018-05-16,1.3503,1.3522,1.3458,1.35,0,0,0
2018-05-17,1.355,1.3569,1.3476,1.3548,0,0,0
2018-05-18,1.3512,1.3528,1.3456,1.3515,0,0,0
2018-05-21,1.3476,1.3476,1.3393,1.3477,0,0,0
2018-05-22,1.3431,1.3491,1.3414,1.3432,0,0,0
2018-05-23,1.3444,1.3444,1.3308,1.3441,0,0,0
2018-05-24,1.3371,1.3422,1.3351,1.3371,0,0,0
2018-05-25,1.3384,1.3385,1.3307,1.3383,0,0,0
2018-05-28,1.3308,1.3348,1.3297,1.3309,0,0,0
2018-05-29,1.3314,1.3326,1.3208,1.3316,0,0,0
2018-05-30,1.3256,1.3308,1.3243,1.3254,0,0,0
2018-05-31,1.3287,1.3349,1.3279,1.3284,0,0,0
2018-06-01,1.3289,1.3362,1.3256,1.3289,0,0,0
2018-06-04,1.3355,1.3399,1.3297,1.3356,0,0,0
2018-06-05,1.3318,1.3392,1.3303,1.3316,0,0,0
2018-06-06,1.3407,1.3444,1.34,1.3406,0,0,0
2018-06-07,1.3425,1.3473,1.3375,1.3422,0,0,0
2018-06-08,1.3416,1.3436,1.3358,1.3419,0,0,0
2018-06-11,1.3411,1.344,1.3346,1.3414,0,0,0
2018-06-12,1.3371,1.3423,1.3347,1.3374,0,0,0
2018-06-13,1.3375,1.3382,1.3314,1.3373,0,0,0
2018-06-14,1.3383,1.3446,1.3307,1.3383,0,0,0
2018-06-15,1.3255,1.3298,1.3213,1.3257,0,0,0
2018-06-18,1.3275,1.3277,1.3228,1.3275,0,0,0
2018-06-19,1.3256,1.3275,1.3152,1.3259,0,0,0
2018-06-20,1.3174,1.3216,1.315,1.3173,0,0,0
2018-06-21,1.3173,1.327,1.3103,1.3175,0,0,0
2018-06-22,1.3249,1.3316,1.3246,1.3248,0,0,0
2018-06-25,1.3263,1.3291,1.3223,1.3262,0,0,0
2018-06-26,1.3279,1.3294,1.3214,1.3278,0,0,0
2018-06-27,1.322,1.3234,1.3128,1.3221,0,0,0
2018-06-28,1.312,1.3122,1.3052,1.312,0,0,0
2018-06-29,1.3078,1.3208,1.3071,1.3075,0,0,0
