,Période Fiscale:Décembre,2017,2018,2019,2020,2021,2022
0,Capitalisation1,52 328,57 153,75 402,270 730,-,-
1,Valeur Entreprise1,59 275,65 438,82 553,275 004,272 919,268 266
2,PER,"-26,3x","-58,2x","-85,0x",287x,119x,"70,2x"
3,Rendement,-,-,-,-,-,-
4,Capitalisation / CA,"4,45x","2,66x","3,07x","9,11x","6,50x","5,14x"
5,Valeur Entreprise / CA,"5,04x","3,05x","3,36x","9,26x","6,55x","5,09x"
6,Valeur Entreprise / EBITDA,112x,"28,9x","27,7x","53,0x","37,5x","27,9x"
7,Cours sur Actif net,"12,4x","11,6x","11,4x","23,6x","18,3x","13,3x"
8,Nbr de Titres (en Milliers),168 067,171 733,180 245,186 362,-,-
9,Cours de référence (USD),311,333,418,1 453,1 453,1 453
10,Dernière mise à jour,07/02/2018,30/01/2019,29/01/2020,06/08/2020,06/08/2020,06/08/2020
11,Chiffre d'affaires1,11 759,21 461,24 578,29 709,41 657,52 680
12,EBITDA1,528,2 262,2 983,5 191,7 273,9 608
13,Résultat d'exploitation (EBIT)1,-1 108,361,"-69,0",1 642,3 369,5 383
14,Marge d'exploitation,"-9,42%","1,68%","-0,28%","5,53%","8,09%","10,2%"
15,Résultat Avt. Impôt (EBT)1,-2 209,-1 005,-665,1 149,2 778,5 170
16,Résultat net1,-1 961,-976,-862,1 019,2 441,4 136
17,Marge nette,"-16,7%","-4,55%","-3,51%","3,43%","5,86%","7,85%"
18,BNA2,"-11,8","-5,72","-4,92","5,06","12,2","20,7"
19,Dividende / Action2,-,-,-,-,-,-
20,Dernière mise à jour,07/02/2018,30/01/2019,29/01/2020,06/08/2020,06/08/2020,06/08/2020
21,1USD en Millions2USDDonnées Estimées,,,,,,
22,Dette Nette1,6 947,8 286,7 151,4 275,2 189,-
23,Trésorerie Nette1,-,-,-,-,-,2 464
24,Leverage (Dette / EBITDA),"13,1x","3,66x","2,40x","0,82x","0,30x","-0,26x"
25,Free Cash Flow1,-3 475,-222,1 078,847,2 543,4 332
26,ROE (RN / Capitaux Propres),"-43,6%","-4,96%","-14,9%","12,9%","20,7%","26,5%"
27,Capitaux Propres1,4 495,19 689,5 771,7 879,11 786,15 611
28,ROA (RN / Total Actif),"-7,64%","-3,34%","-2,69%","4,06%","5,68%","9,17%"
29,Total Actifs1,25 660,29 198,32 024,25 105,43 003,45 123
30,BVPS (Actif net par Action)2,"25,1","28,6","36,6","61,4","79,3",109
31,CPS (Cash Flow Par Action)2,"-0,37","12,3","13,6","17,6","30,7","42,2"
32,Capex1,3 415,2 101,1 327,2 568,3 059,3 179
33,Capex / CA,"29,0%","9,79%","5,40%","8,64%","7,34%","6,03%"
34,Dernière mise à jour,07/02/2018,30/01/2019,29/01/2020,06/08/2020,06/08/2020,06/08/2020
35,1USD en Millions2USDDonnées Estimées,,,,,,
